상호,대표자,업종,법인설립등기일,사업자등록일,대표번호,대표팩스 번호,주소,사업자유형,법인등록번호,사업자등록번호,2020년 자산,2020년 부채,2020년 자본,2020년 매출액,2020년 영업이익,2020년 당기순이익,2019년 자산,2019년 부채,2019년 자본,2019년 매출액,2019년 영업이익,2019년 당기순이익,2018년 자산,2018년 부채,2018년 자본,2018년 매출액,2018년 영업이익,2018년 당기순이익,2017년 자산,2017년 부채,2017년 자본,2017년 매출액,2017년 영업이익,2017년 당기순이익,2020년 개점,2020년 폐지,2020년 명의변경,2019년 개점,2019년 폐지,2019년 명의변경,2018년 개점,2018년 폐지,2018년 명의변경,2017년 개점,2017년 폐지,2017년 명의변경,공정거래위원회의 시정조치,민사소송 패소 및 민사상 화해,형의 선고,
(주)단오푸드,이덕희,분식,2015.02.12,2015.02.01,031  -  567  -  8682,031  -  552  -  0258,우 : 12267 경기도 남양주시 가운로2길 73 202호(가운동),법인,284111  -  0137806,132  -  86  -  34795,0,0,0,0,0,0,20802,0,20802,79285,6137,6137,336332,244040,92292,1113947,73539,73539,30650,15985,14665,0,-5623,-5623,0,0,0,1,1,0,4,1,0,2,5,0,0,0,0,
(주)삼원글로벌,이승원,커피,1999.01.08,1999.01.20,02  -  543  -  3775,02  -  543  -  3720,우 : 04778 서울특별시 성동구 왕십리로4길 26-22 1층,법인,110111  -  1630775,107  -  81  -  66277,0,0,0,0,0,0,139972,109768,30204,131503,-23486,-25726,181109,125179,55930,110397,-44006,-45252,220759,119577,101182,138722,3541,2872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(주)오리지날스푼,송준호,한식,2013.11.20,2013.11.20,02  -  1644  -  1038,02  -  516  -  3203,우 : 05549 서울특별시 송파구 올림픽로32길 48 3층,법인,110111  -  5272268,230  -  81  -  03193,0,0,0,0,0,0,1994200,2168707,-174507,2735486,-377595,-453548,2303920,2024879,279041,4567736,27758,-19895,2957133,2708196,248937,6695642,-96290,-103565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
연두커피인터내셔날(주),여선구,커피,2012.03.08,2012.03.08,02  -  6959  -  3249,02  -  2219  -  4000,우 : 10015 경기도 김포시 통진읍 월하로 586-142 연두커피인터내셔날(주),법인,110111  -  4814839,105  -  87  -  69116,0,0,0,0,0,0,2388529,1711408,677121,1319928,80877,60274,2449129,1832283,616846,1364941,28360,21024,2057219,1461398,595821,1994762,-15878,-38078,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,
카페(cafe)마실,장미현,한식,..,2018.04.14,031  -  486  -  8476,  -    -  ,우 : 15333 경기도 안산시 단원구 화정천동로 270 101호(고잔동),개인,  -  ,497  -  03  -  01150,0,0,0,0,0,0,0,0,0,460898,0,0,0,0,0,43856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
카페(cafe)마실,장미현,커피,..,2018.04.14,031  -  486  -  8476,  -    -  ,우 : 15333 경기도 안산시 단원구 화정천동로 270 101호(고잔동),개인,  -  ,497  -  03  -  01150,0,0,0,0,0,0,0,0,0,460898,0,0,0,0,0,43856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
만호CS,김성일,기타 외식,..,2019.11.27,00  -  1577  -  1583,00  -  000  -  0000,"우 : 15862 경기도 군포시 번영로 502 ,406호(금정동, 성보비지니스센터)",개인,  -  ,619  -  19  -  63489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
디에이치컴퍼니,최경원,제과제빵,..,2020.02.18,  -  1566  -  7479,0  -  0  -  0,우 : 12077 경기도 남양주시 별내면 용암샛말길 6-10 2호,개인,  -  ,789  -  22  -  01098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
디에이치컴퍼니,최경원,제과제빵,..,2020.02.18,0  -  1566  -  7479,0  -  0  -  0,우 : 12077 경기도 남양주시 별내면 용암샛말길 6-10 2호,개인,  -  ,789  -  22  -  01098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
한울프랜차이즈,유정수,한식,..,2009.07.13,02  -  419  -  6254,02  -  418  -  9282,우 : 05621 서울특별시 송파구 백제고분로41길 8-8 5층 1호,개인,  -  ,215  -  05  -  49876,0,0,0,0,0,0,35690,10273,25417,283738,-88839,-88839,33529,7273,26256,289036,26256,26256,61518,9536,51982,392858,26951,26951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
더 그리드,박상현,기타 외식,2019.10.08,2019.10.08,02  -  3141  -  0020,  -    -  ,우 : 04048 서울특별시 마포구 독막로9길 43 2층(서교동),개인,  -  ,391  -  19  -  00849,0,0,0,0,0,0,0,0,0,61135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
와이제이와이푸드(주),최용진,커피,2019.10.23,2019.12.01,051  -  639  -  7772,  -    -  ,"우 : 48400 부산광역시 남구 전포대로 133 (문현동,IFC부산판매시설내 GF)",법인,180111  -  1246213,217  -  81  -  50145,0,0,0,0,0,0,660233,657331,2902,103714,-44599,-47098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
욱이푸드,박원욱,한식,..,2020.12.03,010  -  6401  -  2705,  -    -  ,우 : 46560 부산광역시 북구 만덕1로 53 5층501호,개인,  -  ,302  -  14  -  01479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
(주)왕손,"주광규, 최보성",피자,2020.08.21,2020.08.27,02  -  882  -  0518,02  -  845  -  0519,우 : 08708 서울특별시 관악구 보라매로5가길 7 412호(봉천동),법인,110111  -  7596377,882  -  88  -  01786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,
