번호,상호,영업표지,대표자,등록번호,업종,링크
506,(주)펜톤,3일국밥,문은숙,20151254,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=79070
505,(주)진고집,진고집동해동태탕&냉면,진근화,20171099,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=79030
504,(주)다온코리아,이여사나무김밥,이명순,20161213,분식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=79012
503,(주)에스엔알푸드,153포인츠(POINTZ),김연주,20150034,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=79008
502,(주)에스엔알푸드,수누리,김연주,20080200206,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78980
501,(주)꼬꼬씨에프,꼬꼬씨참숯불닭갈비,임종희,20150782,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78958
500,일우고고싱떡볶이,일우고고싱떡볶이,유혜진,20181156,분식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78753
499,(주)엠에스코리아,학보상회,이민선,20200060,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78693
498,(주)엠에스코리아,치킨처럼,이민선,20140378,치킨,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78692
497,케이에스에이치(KSH)푸드,서민족발,조희원,20190769,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78691
496,케이에스에이치(KSH)푸드,비어사케,조희원,20130306,주점,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78690
495,농부네찹쌀이야기,농부네찹쌀이야기,김재웅,20190432,제과제빵,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78548
494,(주)피엘오하모니,짝태&노가리,박성훈,20140942,주점,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78420
493,비투에스(주),대독장,"김태형,이문근",20150909,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77511
492,(주)노고단,이승현의 착한게장,조진표,20200659,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=83336
491,(주)푸디아,하와이코나사자커피,정재원,20140409,커피,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=83119
490,(주)용형,배달킹안춘배,"안병훈, 안성훈",20200657,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=80217
489,(주)프레솔,아빠곰탕,윤상용,20151193,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=79903
488,(주)맛찬들,맛찬들왕소금구이,이동관,20130100376,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78941
487,신열푸드,신열떡볶이,김성훈,20190274,분식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78869
486,서효원,정성으로 빚은 만두고을,최정화,20180056,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78761
485,더나은F&B,반마리가격에한마리반한찜닭,김성규,20190989,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78731
484,삼미유통,DDC치킨,윤정미,20170868,치킨,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78713
483,(주)우주소년,파스토보이(pastoboy),김재원,20160807,서양식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78334
482,(주)크레이지컴퍼니,홍미단,김성수,20191098,분식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78142
481,신우푸드,떡군이네떡볶이,박승완,20190618,분식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77265
480,(주)슈퍼커피,슈퍼커피,김경호,20140398,커피,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=77135
479,양가에프앤비,밥은화,양호승,20190572,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=80251
478,(주)바이한,설맥(SEOL MAC),한수민,20171372,주점,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=79900
477,(주)포피플,맛차돌,김한수,20190969,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=79277
476,㈜캔푸드,무한정차돌,"송창헌,이승재,송창범",20200656,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=79198
475,도쿄키친39도시락,39℃락,이상민,20180121,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=79138
474,(주)하랑푸드,요달의 찜닭,최낙준,20190910,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=79094
473,(주)비엘앤에프,치킨커플,이병진,20120300008,치킨,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=79036
472,(주)창구에프앤씨,낭만순대,강성구,20190582,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=79000
471,(주)사모,어묵나라,홍은미,20161183,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78914
470,(주)디아이디코리아,커피스토어,전정훈,20200494,커피,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78909
469,굿펠라스(goodfellas),미뜨보루,JUNG STEVE W,20190347,일식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78859
468,굿펠라스(goodfellas),마마도마,JUNG STEVE W,20190283,일식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78858
467,굿펠라스(goodfellas),마마돈,JUNG STEVE W,20161066,일식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78857
466,(주)조마루,생생낙지,이종수,20120100381,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78461
465,(주)조마루,조마루감자탕,이종수,20080200033,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=78451
464,(주)프랜즈업,마부곱창,"이동희, 이상욱",20200646,한식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=83438
463,자바스,JAVAS(자바스),장석현,20200647,음료 (커피 외),https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=82473
462,더천씨씨코리아,천씨씨커피,이성규,20200638,커피,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=81984
461,(주)불을지키는사람들,양대포,문은숙,20200273,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=81794
460,(주)무궁화푸드,호랑이식당,김상선,20181130,일식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=81542
459,(주)주원에프앤비,하바나익스프레스,김주석,20150021,커피,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=81274
458,(주)삼덕로드,정든밤,"윤철진, 하창석",20190158,서양식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=81250
457,(주)메밀나라,메밀나라,민경전,20180045,기타 외식,https://franchise.ftc.go.kr/mnu/00013/program/userRqst/view.do?firMstSn=80844
