업종,브랜드,상호,가맹점수,신규개점,계약종료,계약해지,명의변경,"가맹점
평균매출액","가맹점
면적(3.3㎡)당
평균매출액"
분식,이웃집소녀떡볶이,이웃집소녀쉐프,53,3,0,11,2,"168,340","9,920"
분식,채다올김밥,다올에프엔씨,17,0,1,0,0,"186,314","10,847"
분식,불오뎅,공공식품,13,4,0,1,2,"176,948","13,434"
분식,모범떡볶이1976,(주)행길,17,3,3,3,1,"211,131","8,469"
분식,쭝일아찌5단계빨강떡,빨강떡볶이엠앤제이식품,4,2,0,0,0,0,0
분식,진미면막국수,진미면막국수,9,0,0,0,1,"298,089","5,359"
분식,최고다최고또먹분식,최고다최고,0,0,0,0,0,0,0
분식,뚱보아저씨 돈가스,뚱보아저씨,4,2,0,0,0,"237,930","8,839"
분식,심할머니안흥찐빵만두,어우리,29,9,0,0,0,"118,594","9,256"
분식,바로그집,하나유통,11,0,0,0,0,"263,628","12,300"
분식,유자유김치떡볶이,유자유김치떡볶이,2,1,0,0,0,0,0
분식,열혈분식,(주)엠에프오,27,27,0,0,0,0,0
분식,릴라돈가스,릴라식품,2,0,0,1,0,0,0
분식,신화신가네매운떡볶이,신화,9,1,0,4,0,"96,543","7,240"
분식,갱스터 떡볶이,다우에프앤비(주),0,0,0,0,0,0,0
분식,인정국물떡볶이,두레푸드,43,18,0,2,2,"198,439","16,318"
분식,몬나니떡볶이,몬나니,7,0,4,4,0,"123,640","7,754"
분식,딸부자꼬마김밥,딸부자꼬마김밥,5,3,0,0,1,"170,116","11,172"
분식,오진당떡볶이,푸드딜라이트,0,0,0,0,0,0,0
분식,두레마을우동집,두레푸드시스템,8,1,0,0,0,"88,510","4,752"
분식,신전떡볶이,신전푸드시스,662,53,2,0,25,0,0
분식,평이담백 뼈칼국수,(주)네오플레이트,1,1,0,0,0,0,0
분식,요기인,요기,0,0,0,0,0,0,0
분식,교동우동&김밥,(주)미단푸드,0,0,0,0,0,0,0
분식,떡볶당,(주)엔에이치에프,0,0,0,0,0,0,0
분식,쫄만이,(주)에스엘에프앤비,0,0,0,0,0,0,0
분식,파더스김밥,(주)미셰프,17,4,0,3,2,"43,108","2,120"
분식,마포만두,(주)다우림푸드,12,0,0,3,1,"8,760",531
분식,우리동네국수집,(주)봉화산푸드,16,2,0,2,1,"195,328","10,280"
분식,고미고미,고미고미,0,0,0,0,0,0,0
분식,한국수,알에스코리아,9,3,0,0,0,"348,917","7,428"
분식,장안우동집,장안우동국수본점,1,1,0,0,0,0,0
분식,아싸라비야 매운떡볶이,아싸라비야매운떡볶이,0,0,0,0,0,0,0
분식,빨간자전거,빨간자전거,4,4,0,0,0,0,0
분식,돈가스부띄크,(주)호경에프씨,0,0,0,0,0,0,0
분식,미가람팔팔닭떡볶이,(주)미가람,6,1,0,0,0,"489,196","18,351"
분식,우리할매 떡볶이,제이에스컴퍼니,0,0,0,0,0,0,0
분식,우림칼국수,우림푸드,2,2,0,0,0,0,0
분식,만타떡볶이,(주)와이에프엔씨,0,0,0,0,0,0,0
분식,닭터박강정떡볶이,닭터박,0,0,0,0,0,0,0
분식,조코만삼겹떡볶이,조코만본점,13,13,0,0,0,"146,413","11,893"
분식,이공국시,이공비빔국수왕돈까스,1,0,0,0,0,0,0
분식,신만용신가네매운떡볶이,신만용신가네매운떡볶이,28,0,0,0,2,"129,359","7,561"
분식,김밥천국,(주)정다믄,292,9,3,0,4,0,0
분식,치떠끼,(주)우분트,0,0,0,0,0,0,0
분식,삼첩분식,씨지에프(주),33,35,0,2,0,"78,549",0
분식,사우나 떡볶이,(주)알피,0,0,0,0,0,0,0
분식,떡볶킹,(주)브랜드그라운드,0,0,0,0,0,0,0
분식,수철이네왕새우튀김,(주)수철에프앤비,46,9,5,7,3,"221,226","14,843"
분식,신불떡볶이,(주)신불식품,99,14,0,13,10,0,0
분식,핵볶이키친,(주)핵가족,1,1,0,0,0,0,0
분식,쿠웨이트떡볶이,(주)엘제이푸드,60,40,0,18,11,"167,889","13,787"
분식,옷잘입는떡볶이,옷잘입는,0,0,0,0,0,0,0
분식,조아저씨김밥,조아저씨김밥,0,0,0,0,0,0,0
분식,쉐프가만든떡볶이,(주)정명에프앤비,4,0,2,0,0,"116,621","10,602"
분식,수유리우동집,(주)물과소금,88,22,0,8,2,"212,949","12,779"
분식,부들부들떡볶이,(주)부들부들,2,0,0,6,0,"146,430","9,762"
분식,오떡후,(주)이엔에프컴퍼니,68,65,0,9,0,"110,737","11,295"
분식,김밥킹,(주)아이윈엔터프라이즈,0,0,0,0,0,0,0
분식,그늘집,㈜바로푸드,0,0,0,0,0,0,0
분식,또보겠지 떡볶이집,(주)행복만석,7,7,0,0,0,0,0
분식,올떡,(주)지엔에스올떡,93,16,11,3,1,"106,103","9,135"
분식,롤링킹꽈배기,롤링킹,0,0,0,0,0,0,0
분식,떡가계,(주)웰빙을만드는사람들,0,0,0,0,0,0,0
분식,여우愛,(주)퍼스트에이엔티,9,8,0,0,0,"206,001","13,735"
분식,썸마이 떡볶이,오에이치,0,0,0,0,0,0,0
분식,오하루,(주)하나에프씨,0,0,0,0,0,0,0
분식,찐분식,㈜아이언가이즈,0,0,0,0,0,0,0
분식,마리야,(주)에스지푸드,0,0,0,0,0,0,0
분식,장상궁김밥,(주)장상궁,7,2,0,0,0,"308,525","19,577"
분식,슬기로운 분식생활,아침의부엌,0,0,0,0,0,0,0
분식,역전우동0410,(주)더본코리아,114,19,0,2,6,"373,280","23,260"
분식,미정국수0410,(주)더본코리아,25,7,0,1,0,"516,271","32,136"
분식,열정분식소,해낸오버파워(주),38,26,0,2,0,"337,066","22,389"
분식,괴물떡볶이,괴물떡볶이,3,0,0,0,0,0,0
분식,괴물떡볶이,괴물떡볶이,3,0,0,0,0,0,0
분식,김밥제일가,(주)쿡앤리빙,11,3,0,0,2,"176,679","21,105"
분식,아딸,(주)아딸,36,8,0,4,4,"106,392","11,061"
분식,미미고,㈜미미고,26,26,0,0,0,0,0
분식,덕자네방앗간,(주)덕자네방앗간,4,0,0,0,0,"370,000","18,784"
분식,오별난멸치국수,(주)누들앤푸드,22,7,2,4,0,"548,167","14,647"
분식,눈꽃치즈떡볶이,(주)피자헤븐코리아,49,11,0,11,1,"57,311","3,007"
분식,고속우동,(주)더본코리아,5,0,0,0,0,"279,860","55,972"
분식,부산어묵,비에프씨F&D,11,4,0,4,1,"22,608","1,058"
분식,딱찌문방구,앤아이앤에프앤비,0,0,0,0,0,0,0
분식,케이콜라보김밥∙떡볶이,(주)해지온,27,9,0,3,3,"174,733","6,025"
분식,토마토김밥,(주)푸름에프앤에스,106,8,3,3,5,"365,162","29,798"
분식,떡무꼬빨닭,라이징푸드,0,0,0,0,0,0,0
분식,얌샘,(주)얌샘,23,0,0,20,1,"165,527","12,123"
분식,소가담,(주)센치밀리,7,1,0,6,0,"222,565","4,704"
분식,마리왕,(주)마리킹,4,1,0,1,0,0,0
분식,마리짱,(주)삼봉,22,7,0,9,0,0,0
분식,오마뎅,(주)오마뎅,94,37,0,10,12,"163,028","18,169"
분식,미미당,(주)미미에프앤비,0,0,0,0,0,0,0
분식,디델리,(주)디엔에프씨,27,2,2,0,0,0,0
분식,삼대떡볶이,티제이파트너즈,13,14,0,1,0,0,0
분식,상개분식,상개분식,0,0,0,0,0,0,0
분식,빨강떡볶이 메이드 바이 신앤군컴퍼니,(주)제이알디,14,3,0,4,2,"221,024","21,221"
분식,순이네 떡볶이,(주)아이더스코리아,0,0,0,0,0,0,0
분식,순이네 떡볶이,(주)아이더스코리아,0,0,0,0,0,0,0
분식,순이네 떡볶이,(주)아이더스코리아,0,0,0,0,0,0,0
분식,나는 조선의 떡볶이다,(주)이노레시피,25,0,10,0,0,"77,491","4,910"
분식,달려라달봉이떡볶이,디비코리아,5,1,0,1,0,"170,800","20,422"
분식,별애별떡,(주)더푸딩코리아,1,1,0,0,0,0,0
분식,씨앗호떡,(주)에스엔인더스트리,7,2,0,9,0,0,0
분식,보슬보슬,(주)다이닝팩토리,0,0,0,0,0,0,0
분식,로봇김밥,(주)로봇에프앤비,14,0,0,11,1,"197,070","15,211"
분식,김피라(kimpira),(주)솔트앤슈가,13,3,0,0,0,"156,067","5,218"
분식,효형제돈까스,효브라더스,6,2,0,4,0,"432,618","9,318"
분식,델리웨건등등,(주)푸드앤푸레쉬,1,0,0,2,0,0,0
분식,배달의떡볶이,(주)제이투케이에프앤비,4,4,0,0,0,0,0
분식,신떡순신천할매떡볶이,신떡순신천할매떡볶이,18,18,0,0,0,0,0
분식,석관동떡볶이,(주)오리엔트푸드,34,17,0,6,0,0,0
분식,든든한육떡,그레이프컴퍼니(주),0,0,0,0,0,0,0
분식,원래는 치킨집을 할려고 했었다,배달더쿡,19,19,0,0,0,0,0
분식,밀크밥버거,(주)오색만찬,7,0,0,7,0,"41,102","4,641"
분식,서가원김밥,(주)오색만찬,19,2,0,4,0,"136,004","8,512"
분식,용우동,(주)용마을,186,22,11,0,3,"247,342","14,406"
분식,8군돈까스&떡볶이,8군푸드,2,0,1,0,0,0,0
분식,밥앤스낵,(주)트로이,9,3,1,0,0,"175,897","21,953"
분식,꾼떡,(주)트로이,25,0,3,0,4,"105,888","7,361"
분식,미돈미가,(주)해피룸,0,0,0,0,0,0,0
분식,김대표 김밥,(주)덕,6,0,0,0,0,"354,559","23,903"
분식,수준이다른몬스터떡볶이,라온우리협동조합,0,0,0,0,0,0,0
분식,치킨곱하기떡볶이,헤이요푸드,4,4,0,0,1,"198,466","4,410"
분식,올스타떡볶이,올스타떡볶이,5,5,0,0,0,0,0
분식,분식쌀롱,동행푸드,18,11,0,0,2,"316,600","17,920"
분식,최배달 떡순튀,(주)최배달,1,1,0,0,0,0,0
분식,컵하우스,컵하우스,0,0,0,0,0,0,0
분식,135튀김집,(주)대원어묵,13,7,0,3,0,"243,360","15,105"
분식,토스트앤후르츠,가지많은나무,1,0,0,1,0,0,0
분식,삐사감김밥,삐사감김밥앤러브스테이크(주),7,4,0,5,0,0,0
분식,다다믄,다다믄,3,0,0,2,0,0,0
분식,알촌,(주)구연시스템,21,1,0,3,1,"190,778","9,619"
분식,와닭꼬치,(주)푸디웍스랩,7,3,9,1,0,"74,928","9,437"
분식,걸작떡볶이치킨,(주)위드인푸드,135,45,0,13,12,"316,393","24,452"
분식,델리웨건와작,(주)모음,2,0,0,9,0,0,0
분식,로라방앗간,㈜로라컴패니,19,10,1,0,1,"195,687","17,359"
분식,밥맛나는세상,(주)소디프비앤에프,70,12,0,14,3,"228,722","16,187"
분식,감탄떡볶이,(주)오투스페이스,352,22,0,42,23,0,0
분식,애플꼬마김밥,(주)애플푸드,12,12,0,0,0,"153,966","12,938"
분식,오 숙성돈까스와국수 맛있는여행,(주)오맛있는여행,0,0,0,0,0,0,0
분식,떡불킹,제이엠제이푸드,6,4,0,0,6,0,0
분식,코미니꼬마김밥,(주)코미니,1,1,0,1,0,0,0
분식,홍마떡,(주)홍마떡푸드,6,6,0,0,0,"421,179","22,247"
분식,불떡불떡,햇잎푸드(주),4,4,0,0,0,0,0
