상호,영업표지,대표자,업종,법인설립등기일,사업자등록일,대표번호,대표팩스 번호,등록번호,최초등록일,최종등록일,주소,사업자유형,법인등록번호,사업자등록번호,2020년 자산,2020년 부채,2020년 자본,2020년 매출액,2020년 영업이익,2020년 당기순이익,2019년 자산,2019년 부채,2019년 자본,2019년 매출액,2019년 영업이익,2019년 당기순이익,2018년 자산,2018년 부채,2018년 자본,2018년 매출액,2018년 영업이익,2018년 당기순이익,브랜드 수,가맹사업 계열사 수,가맹사업 개시일,2020년 신규개점,2020년 계약종료,2020년 계약해지,2020년 명의변경,2019년 신규개점,2019년 계약종료,2019년 계약해지,2019년 명의변경,2018년 신규개점,2018년 계약종료,2018년 계약해지,2018년 명의변경,"가맹지역본부(지사,지역총판)수",형태,예치 가맹금,공정거래위원회의 시정조치,민사소송 패소 및 민사상 화해,형의 선고,가입비(가맹비),교육비,보증금,기타비용,합계,단위면적(3.3㎡)당 인테리어 비용,기준점포면적(㎡),인테리어 비용,최초 계약기간,연장 계약기간
할매손집밥,나주할매 곰탕&뼈해장국,이준영,한식,..,2016.12.01,  -  1600  -  7407,  -    -  ,20190143,2019.02.14,2021.04.02,우 : 61071 광주광역시 북구 양산택지로37번길 82 .,개인,  -  ,229  -  37  -  00285,0,0,0,0,0,0,"84,511",12,"84,499","1,273,722","69,573","69,573","16,303","1,378","14,925","159,404","11,791","9,964",5,0,2019  -  02  -  28,0,0,0,0,48,0,10,0,0,0,0,0,0  개,보험,"1,100",0,0,0,0,"1,100",0,"52,250","53,350","1,650 ",50 ,"24,750 ",2,1
할매손집밥,1인 한식당,이준영,한식,..,2016.12.01,  -  1600  -  7407,000  -    -  ,20190113,2019.02.01,2021.04.02,우 : 61071 광주광역시 북구 양산택지로37번길 82 .,개인,  -  ,229  -  37  -  00285,0,0,0,0,0,0,"84,511",12,"84,499","1,273,722","69,573","69,573","16,303","1,378","14,925","159,404","11,791","9,964",5,0,2019  -  02  -  28,0,0,0,0,48,0,9,2,0,0,0,0,0  개,보험,"1,100",0,0,0,0,"1,100",0,"52,250","53,350","1,650 ",50 ,"24,750 ",2,1
메밀고개푸드(주),시골막국수와 옹심이,이정숙,한식,2015.03.11,2015.03.26,00  -  1688  -  3704,00  -  000  -  0000,20110500004,2011.04.25,2021.04.02,"우 : 35083 대전광역시 중구 안영로30번길 32 1층(안영동, 화이트빌)",법인,160111  -  0393788,627  -  81  -  00065,"544,551","235,715","308,836","259,434","34,345","31,683","448,989","171,837","277,152","226,586","52,399","50,347","282,980","56,175","226,805","204,217","12,105","12,977",1,0,2011  -  06  -  01,3,0,2,1,2,0,1,0,3,0,0,0,0  개,예치제,"8,500",0,0,0,"2,750","2,750","3,000","96,800","105,300","1,100 ",165 ,"55,000 ",2,2
흥주푸드,흥주선비국밥,박교민,한식,..,2017.07.01,  -  1577  -  6428,  -  0000  -  0000,20181044,2018.10.14,2021.04.02,우 : 24209 강원도 춘천시 동면 춘천로449번길 26-2 1층,개인,  -  ,583  -  12  -  00769,0,0,0,"72,318",0,0,0,0,0,"89,850",0,0,0,0,0,"38,444",0,0,1,0,2017  -  08  -  07,1,0,0,0,0,0,0,0,1,0,0,0,0  개,예치제,"11,000",0,0,0,"5,500","5,500",0,"6,600","17,600",0 ,99 ,0 ,3,3
소바루,소바루,이광구,기타 외식,..,2017.09.01,  -  1899  -  9307,00  -  000  -  0000,20181186,2018.11.22,2021.04.02,우 : 44452 울산광역시 중구 화진4길 36 (태화동),개인,  -  ,682  -  13  -  00549,0,0,0,"75,811",0,0,0,0,0,"48,640",0,0,0,0,0,"18,636",0,0,1,0,2017  -  09  -  01,0,0,0,0,2,0,0,0,0,0,0,0,0  개,예치제,"16,000",0,0,0,"5,500","5,500","5,000","96,250","112,250","1,760 ",99 ,"52,800 ",2,2
(주)대대손손,대손관,한종현,분식,2019.07.01,2019.07.15,16  -  44  -  5105,00  -  0000  -  0000,20190505,2019.06.04,2021.04.02,우 : 34168 대전광역시 유성구 대학로 31 2224호,법인,160111  -  0520406,201  -  87  -  01433,0,0,0,0,0,0,"113,293","90,605","22,688",0,"-7,952","-7,311",0,0,0,0,0,0,1,0,2019  -  06  -  19,3,0,0,0,2,0,0,0,0,0,0,0,0  개,해당없음,"11,800",0,0,0,"5,500","3,300","3,000","140,200","152,000","1,650 ",132 ,"66,000 ",3,1
(주)브라더컴퍼니,이태리식당,오세훈,서양식,2021.01.20,2021.02.03,  -  0000  -  0000,0504  -  425  -  7458,20210958,2021.04.02,2021.04.02,"우 : 30125 세종특별자치시 다정북로 79 2층 201호(다정동, 포스트)",법인,164711  -  0106573,304  -  81  -  33834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2021  -  02  -  16,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"18,500",0,0,0,"11,000","5,500","2,000","121,000","139,500","2,530 ",132 ,"101,200 ",2,1
1090우리닭집율량점,1090우리닭집,김완섭,치킨,..,2019.07.08,043  -  217  -  9070,  -    -  ,20210956,2021.04.02,2021.04.02,우 : 28328 충청북도 청주시 청원구 공항로150번길 54 (율량동),개인,  -  ,104  -  36  -  91379,0,0,0,"161,870",0,0,0,0,0,"57,157",0,0,0,0,0,0,0,0,1,0,2021년 03월 공식 가맹사업 개시 예정으로 해당 내용이 없습니다. (공식 가맹계약 체결 사실이 없습니다),0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"6,500",0,0,0,"3,300","2,200","1,000","20,900","27,400","1,100 ",33 ,"11,000 ",2,1
(주)원진푸드,치킨더치킨,홍종만,치킨,2014.10.14,2014.10.29,00  -  1599  -  9285,033  -  651  -  9979,20150275,2015.03.23,2021.04.02,우 : 25473 강원도 강릉시 수리골길 109 (교동),법인,141111  -  0046455,226  -  81  -  51153,0,0,0,"3,915,086",0,0,"2,070,210","1,391,856","678,354","4,117,523","45,958","1,654","2,305,958","1,629,258","676,700","4,680,760","125,219","88,708",1,0,2015  -  03  -  25,0,0,2,1,3,0,7,1,0,0,1,3,0  개,예치제,"1,650",0,0,0,550,"1,100",0,"21,230","22,880","1,100 ",33 ,"11,000 ",1,1
(주)비에스비푸드,치킨人류,정관영,치킨,2020.07.06,2020.08.07,  -  1522  -  4211,031  -  238  -  1236,20201254,2020.09.25,2021.04.02,우 : 18385 경기도 화성시 동탄지성로 416-3 (반월동),법인,134811  -  0568545,518  -  88  -  01736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2020  -  11  -  16,2,0,0,0,0,0,0,0,0,0,0,0,0  개,보험,"9,800",0,0,0,"5,500","3,300","1,000","27,500","37,300","1,210 ",33 ,"12,100 ",2,1
