상호,영업표지,대표자,업종,법인설립등기일,사업자등록일,대표번호,대표팩스 번호,등록번호,최초등록일,최종등록일,주소,사업자유형,법인등록번호,사업자등록번호,2019년 자산,2019년 부채,2019년 자본,2019년 매출액,2019년 영업이익,2019년 당기순이익,2018년 자산,2018년 부채,2018년 자본,2018년 매출액,2018년 영업이익,2018년 당기순이익,2017년 자산,2017년 부채,2017년 자본,2017년 매출액,2017년 영업이익,2017년 당기순이익,브랜드 수,가맹사업 계열사 수,가맹사업 개시일,2019년 신규개점,2019년 계약종료,2019년 계약해지,2019년 명의변경,2018년 신규개점,2018년 계약종료,2018년 계약해지,2018년 명의변경,2017년 신규개점,2017년 계약종료,2017년 계약해지,2017년 명의변경,"가맹지역본부(지사,지역총판)수",형태,예치 가맹금,공정거래위원회의 시정조치,민사소송 패소 및 민사상 화해,형의 선고,가입비(가맹비),교육비,보증금,기타비용,합계,단위면적(3.3㎡)당 인테리어 비용,기준점포면적(㎡),인테리어 비용,최초 계약기간,연장 계약기간
(주)에스에스피씨,C.&tree coffee,김영창,커피,2018.04.10,2018.04.20,0  -  1600  -  1725,055  -  383  -  1726,20210632,2021.03.05,2021.03.05,우 : 18469 경기도 화성시 동탄기흥로 614 20층 2015호,법인,234111  -  0099436,216  -  86  -  00991,"654,027","311,636","342,391","2,449,786","201,547","209,987","473,733","341,329","132,404","731,952","37,758","32,403",0,0,0,"247,603",0,0,3,0,가맹계약 체결 사실이 없습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"13,800",0,0,0,"7,150","1,650","5,000","32,266","46,066","1,870 ",33 ,"18,700 ",1,1
한냥노가리본사,한냥노가리,김동한,주점,..,2013.08.20,02  -  2661  -  0114,0  -  0  -  0,20181141,2018.11.08,2021.03.05,우 : 10379 경기도 고양시 일산서구 중앙로 1496 1101동 1103호,개인,  -  ,110  -  11  -  37663,"48,411",338,"48,073","217,938","14,163","15,800","61,632",802,"60,830","240,370","15,261","19,009","67,031","2,775","64,256","235,969","13,668","18,100",1,0,2016  -  05  -  04,1,0,2,0,2,0,0,0,1,0,0,0,0  개,해당없음,"5,500",0,0,0,"3,300","2,200",0,"42,900","48,400","1,430 ",50 ,"21,450 ",2,1
에이와이푸드,아리랑아구찜,박종범,한식,..,2020.10.05,0  -  0  -  0,0  -  0  -  0,20201582,2020.11.23,2021.03.05,우 : 12939 경기도 하남시 하남대로 990 지하3층 비311호,개인,  -  ,210  -  40  -  99028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,가맹계약 체결 사실이 없습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"5,400",0,0,0,"3,300","1,100","1,000",0,"5,400",0 ,0 ,0 ,2,2
(주)제이엔에프,빅다방,정판재,기타 외식,2015.10.30,2015.11.01,053  -  267  -  4539,00  -  0000  -  0000,20160007,2016.01.05,2021.03.04,우 : 41941 대구광역시 중구 동성로3길 58-8 4층 (삼덕동1가),법인,170111  -  0583907,395  -  88  -  00338,"1,156,666","964,016","192,650","653,198","-103,402","-142,908","540,838","205,280","335,558","1,026,900","4,944","10,174","534,854","209,469","325,385","1,477,181","56,251","15,438",1,0,2016  -  01  -  01,0,9,1,0,0,0,5,0,3,12,0,1,0  개,예치제,"8,500",0,0,0,"3,300","2,200","3,000","62,200","70,700","2,750 ",33 ,"27,500 ",3,3
(주)이엘,브라운래빗,이정희 외 1인,음료 (커피 외),2019.08.13,2019.08.13,02  -  558  -  0608,02  -  558  -  0604,20210594,2021.03.04,2021.03.04,우 : 14086 경기도 안양시 만안구 전파로62번길 8 1층,법인,131411  -  0439846,578  -  87  -  01371,"817,876","812,175","5,701",0,"-88,005","-87,824",0,0,0,0,0,0,0,0,0,0,0,0,1,0,가맹계약 체결 사실이 없습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0  개,보험,"16,000",0,0,0,"8,800","2,200","5,000","121,550","137,550","2,530 ",66 ,"50,600 ",3,3
대맛담,대맛담,임희윤,한식,..,2020.10.01,010  -  9566  -  9507,  -    -  ,20210598,2021.03.04,2021.03.04,우 : 28317 충청북도 청주시 청원구 율량로 135 604동 1504호,개인,  -  ,688  -  67  -  00410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,가맹사업 개시 전,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"5,500",0,0,0,"2,200","3,300",0,"91,650","97,150",0,0 ,0,2,2
엄마밥상,고삳낄로,이규만,한식,..,2020.09.29,031  -  502  -  0815,000  -  0000  -  0000,20210591,2021.03.03,2021.03.03,우 : 15497 경기도 안산시 상록구 천문2길 6 1층 103호,개인,  -  ,601  -  07  -  67235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,가맹사업 개시 전,0,0,0,0,0,0,0,0,0,0,0,0,0  개,보험,"3,200",0,0,0,"1,100","1,100","1,000","1,100","4,300",0 ,33 ,0 ,2,1
양심,양만타조개나라,김혜선,한식,..,2020.06.18,041  -  548  -  0037,041  -  549  -  0059,20210589,2021.03.03,2021.03.03,우 : 31494 충청남도 아산시 배방읍 월천2길 8-16 101호,개인,  -  ,781  -  18  -  01291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,당사는 가맹사업 준비중에 있습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"20,400",0,0,0,"13,200","2,200","5,000","78,450","98,850","1,430 ",99 ,"42,900 ",2,1
(주)계주,장터옛날통닭,김미화,치킨,2020.07.22,2020.08.04,00  -  1577  -  0666,033  -  645  -  2223,20210576,2021.03.02,2021.03.02,우 : 25929 강원도 삼척시 남양안길 11-8 (남양동),법인,144661  -  0026561,459  -  88  -  01795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016  -  12  -  19,8,0,0,0,3,0,0,0,4,0,0,0,0  개,예치제,"6,300",0,0,0,"2,750",550,"3,000","27,720","34,020","1,430 ",33 ,"14,300 ",2,1
(주)분식이,분식이 이래도 되는가,이태훈,분식,2016.06.13,2016.06.13,02  -  2652  -  2005,02  -  2651  -  3005,20171544,2017.12.20,2021.02.26,우 : 10023 경기도 김포시 월곶면 비석동로50번길 5-1 2동,법인,124411  -  0178948,367  -  86  -  00396,"205,401","303,293","-97,892","1,492,188","-350,597","-388,816","372,911","81,986","290,925","624,618","-432,640","-446,628","800,043","62,489","737,554","505,210","-480,150","-479,154",1,0,2017  -  07  -  21,23,0,0,5,15,2,0,0,3,0,0,0,0  개,예치제,"7,700",0,0,0,"5,500","2,200",0,"35,200","42,900","1,700 ",33 ,"17,000 ",2,1
